序号,名称,规格/型号,数量,单价(元),小计(元),备注
1,DC电源插座,5.5×2.1圆形母座 配防水帽 5个装,1,3.24,3.24,达拉然电子配件
2,直流减速电机,DC6V D型出轴 50转/分 大扭矩,0,18,0,
3,PWM电机调速器,1803BK 1.8-12V 2A 带开关,1,3.08,3.08,尚芯宇电子科技
5,608ZZ轴承,ABEC-7 10个装,1,3.1,3.1,AM轴承转动
6,机械限位开关,3D打印机Endstop RAMPS 1.4,2,3.4,6.8,巽风模块
7,霍尔磁力传感器,KY-003,1,3.04,3.04,科信科技
8,杜邦线,20CM 公公+公母+母母 60根套装,1,6.2,6.2,莫奇贝电子
9,DC电源公母头线,12V纯铜芯 公头 5条,0,3.01,0,源德芯电子
10,ESP32开发板,CH340C TYPE-C WiFi+蓝牙,1,18.3,18.3,深圳昇信
11,IRF520驱动模块,MOS管 PWM调节,0,3.2,0,WAVGAT
13,数字舵机,YOUMI 18KG 全金属齿轮 180°,1,31,31,YM优米科技
14,电源模块3.3V 5V 12V多路输出 电压转换模块 DC-DC 12V转3.3V 5V（有钱的换鹿小班的四路可调降压模块舵机接7.4v更有力,LM2596 四路 DCP3512,1,2.72（15.73）,2.72（15.73）,龙芯科技电子（鹿小班）
,耗材费,337.5g（petg hf）,,,8.43,
,总计,,,,83.19,自备螺丝螺母和胶水，M3，M4都需要，M4买短的，*6*8应该都可以，M3长的短的都要，长的*12*16的样子，短的*6*8
